ID,OrdID,OrdDate,ShipDate,ShipMode,CustID,CustName,Seg,Country,City,State,Region,ProdID,Cat,SubCat,ProdName,Sales,Qty,Profit,Ret,Pay,Ind1,Ind2
1,25b7a6eb-e1f6-484a-94ec-464f9d31d200,2022-01-27,2022-03-10,Exp,961b890a-40ab-4ef7-aebd-e95fc666b946,Erika Snyder,Corp,US,South Megan,Maryland,East,4a8a19d9-fad8-4eba-b6d1-72c1076fe09b,Tech,Bkcs,Director certain war lawyer yard.,2276.11,3,-68.14,1.0,PP,,
2,427babad-fc71-4f54-ac64-5c5bbf3ce3ab,2019-12-25,2020-09-12,Eco,13b89158-97f9-471c-8835-b70310e89d4f,James Hamilton,Corp,US,South Joseph,Idaho,North,568d5875-3a41-46f5-839b-4ff67bb60a67,OffSup,Fstnrs,Type two show foot color time.,3963.52,8,81.07,,CC,,
3,5c7d6b45-3723-4360-8631-b3573a7f3164,2022-07-28,2023-01-02,Eco,3f49add3-0cb0-4299-a6f4-a1aec0d3324d,Seth Cooke,Cons,US,Diazfurt,Pennsylvania,South,d647dad2-1516-4aa2-b772-947c76518ca7,OffSup,Fstnrs,Do field anything skill discuss just.,2686.13,3,-65.28,,COD,,
4,ad8dfab1-1d6d-461c-ab75-c43715004945,2021-02-06,2022-02-04,Eco,92a3db89-91d5-43d1-a1c1-d66a54c2b84f,Chelsea Crawford,HO,US,Hutchinsonberg,Georgia,South,7536f237-9503-49e8-8792-1f9ac8b9ce2e,Tech,Acc,Large really sing wrong civil movie.,4796.12,8,1.64,1.0,PP,,
5,325016c6-0395-4448-93ab-abd7c4a45920,2020-04-11,2020-10-07,Exp,ffaea83d-7da9-4a0a-a2d6-b6d22e8e87d6,Craig Harris,Cons,US,Cherylland,Michigan,North,bc9e45c9-bb5b-4e84-be81-596219772f22,OffSup,Bndrs,Character charge away kitchen win.,1385.14,3,36.68,,PP,,
6,a69aab79-4070-418a-941b-d0b89770a08a,2020-01-16,2020-12-12,Std,17aedd79-8353-413a-b855-256bf52db639,Shannon Price,HO,US,West Mark,South Carolina,North,75f2e274-5664-4378-8e26-befdb13982b7,Furn,Acc,Pm describe window with soldier born relate.,117.59,9,30.52,,CC,,
7,2e2418d8-3bbf-4bad-af72-5cbc1d2c4c24,2022-06-02,2023-04-13,Eco,6d1bf5c4-4cbf-48e5-a055-3044749fcca0,Wanda Hernandez,HO,US,New Susan,Kansas,North,87883168-0a57-4713-a485-84216518dbbb,OffSup,Acc,Cold agency these window at war.,3410.34,3,-65.21,1.0,COD,,
8,8adde17b-ec11-43e7-9da8-3fbd91a4a753,2022-08-02,2023-03-12,Std,f8976d80-bc9d-4c61-948a-25a373b2f6b4,Andrew Huang,Cons,US,Juliaport,Iowa,North,8ac2472e-4b71-4ab5-92b3-b24de871d16a,Tech,Phns,Else such every understand doctor.,802.84,6,21.88,,PP,,
9,0c403e5c-4431-4e1f-9cb1-44873aa6868a,2024-02-29,2024-09-30,Std,e6fc467e-79f9-4e46-9b14-11d640b0b4a8,Bobby Burgess,HO,US,Karibury,Ohio,East,c91448bc-0519-4814-94e4-791617d8b204,Furn,Fstnrs,Rather letter future senior night.,2522.61,9,30.55,,COD,,
10,dcc4e08c-4a4a-4e30-83c3-98deda80c6f3,2021-03-08,2021-12-02,Exp,932f4199-7f35-48bd-99d0-e5881ed86788,Spencer Burns,Cons,US,Lake Craigside,Montana,East,c25210d4-dfed-4ee7-8c0d-b9f590982ba1,Tech,Bkcs,Bag bit also some talk well chair.,4320.35,5,17.77,1.0,CC,,
